,FamilyType
347,Female Head
406,Female Head
405,Female Head
1641,Female Head
8315,Female Head
285,Female Head
7807,Female Head
12026,Female Head
7784,Female Head
12025,Female Head
7928,Female Head
17591,Female Head
7781,Female Head
344,Female Head
12902,Female Head
1709,Female Head
1640,Female Head
16807,Female Head
7751,Female Head
273,Female Head
7076,Female Head
12980,Female Head
7782,Female Head
12896,Female Head
7812,Female Head
7811,Female Head
7810,Female Head
8314,Female Head
278,Female Head
7752,Female Head
280,Female Head
281,Female Head
7783,Female Head
17566,Female Head
1714,Female Head
11930,Female Head
12035,Female Head
22538,Female Head
279,Female Head
7929,Female Head
7082,Female Head
7133,Female Head
402,Female Head
16810,Female Head
17599,Female Head
16809,Female Head
13976,Female Head
17155,Female Head
7780,Female Head
293,Female Head
1656,Female Head
7930,Female Head
8295,Female Head
17588,Female Head
400,Female Head
7779,Female Head
296,Female Head
356,Female Head
291,Female Head
7931,Female Head
292,Female Head
12021,Female Head
272,Female Head
9957,Male Head
5793,Male Head
9956,Male Head
5194,Male Head
101,Male Head
357,Male Head
5213,Male Head
3989,Male Head
351,Male Head
15569,Male Head
12563,Male Head
16306,Male Head
5212,Male Head
9955,Male Head
5193,Male Head
7528,Male Head
503,Male Head
4809,Male Head
77,Male Head
502,Male Head
4810,Male Head
4816,Male Head
18775,Male Head
22225,Male Head
13525,Male Head
4653,Male Head
19396,Male Head
9953,Male Head
9014,Male Head
5804,Male Head
5803,Male Head
9281,Male Head
5802,Male Head
9954,Male Head
18829,Male Head
5178,Male Head
15616,Male Head
361,Male Head
19415,Male Head
13328,Male Head
19414,Male Head
9224,Male Head
9450,Male Head
10003,Male Head
888,Male Head
9036,Male Head
887,Male Head
18362,Male Head
5318,Male Head
12574,Male Head
861,Male Head
10008,Male Head
354,Male Head
862,Male Head
12835,Male Head
16114,Male Head
9037,Male Head
5762,Male Head
5317,Male Head
10015,Male Head
5780,Male Head
22455,Male Head
13329,Male Head
13536,Male Head
9038,Male Head
65,Male Head
66,Male Head
5195,Male Head
5170,Male Head
9039,Male Head
352,Male Head
4821,Male Head
19424,Male Head
5790,Male Head
22216,Male Head
67,Male Head
13324,Male Head
9034,Male Head
19417,Male Head
94,Male Head
879,Male Head
4651,Male Head
9035,Male Head
504,Male Head
13519,Male Head
13535,Male Head
9251,Male Head
15550,Male Head
7883,Male Head
8977,Male Head
4759,Male Head
10166,Male Head
10165,Male Head
5299,Male Head
22117,Male Head
15,Male Head
22118,Male Head
7882,Male Head
5877,Male Head
19568,Male Head
401,Male Head
7881,Male Head
9240,Male Head
15468,Male Head
22122,Male Head
5871,Male Head
972,Male Head
7730,Male Head
5266,Male Head
3868,Male Head
5265,Male Head
10138,Male Head
7880,Male Head
4713,Male Head
22511,Male Head
5865,Male Head
397,Male Head
964,Male Head
15469,Male Head
15486,Male Head
12903,Male Head
17192,Male Head
7475,Male Head
7476,Male Head
5897,Male Head
17190,Male Head
7477,Male Head
16940,Male Head
22099,Male Head
17191,Male Head
5420,Male Head
4736,Male Head
4,Male Head
15441,Male Head
5,Male Head
8116,Male Head
429,Male Head
6,Male Head
7,Male Head
3819,Male Head
15445,Male Head
8974,Male Head
4731,Male Head
3824,Male Head
407,Male Head
7884,Male Head
15450,Male Head
5887,Male Head
12497,Male Head
12498,Male Head
16942,Male Head
4728,Male Head
16941,Male Head
12555,Male Head
4708,Male Head
7503,Male Head
12537,Male Head
18779,Male Head
22160,Male Head
7986,Male Head
15525,Male Head
930,Male Head
929,Male Head
928,Male Head
17176,Male Head
4797,Male Head
7976,Male Head
46,Male Head
7516,Male Head
19474,Male Head
22155,Male Head
4665,Male Head
9006,Male Head
15545,Male Head
51,Male Head
5228,Male Head
5227,Male Head
15549,Male Head
22728,Male Head
10052,Male Head
10051,Male Head
7776,Male Head
56,Male Head
913,Male Head
7522,Male Head
4808,Male Head
48,Male Head
22510,Male Head
22153,Male Head
5840,Male Head
7504,Male Head
10119,Male Head
5431,Male Head
7879,Male Head
957,Male Head
8095,Male Head
18585,Male Head
450,Male Head
451,Male Head
452,Male Head
13572,Male Head
453,Male Head
4694,Male Head
15498,Male Head
10088,Male Head
17042,Male Head
18334,Male Head
10096,Male Head
5409,Male Head
4784,Male Head
17177,Male Head
22149,Male Head
5842,Male Head
22500,Male Head
5841,Male Head
10092,Male Head
13302,Male Head
13108,Male Head
22562,Male Head
22151,Male Head
8997,Male Head
9467,Male Head
4927,Male Head
4605,Male Head
225,Male Head
597,Male Head
223,Male Head
596,Male Head
595,Male Head
13168,Male Head
594,Male Head
8029,Male Head
12712,Male Head
12711,Male Head
12710,Male Head
13165,Male Head
303,Male Head
687,Male Head
12709,Male Head
678,Male Head
5507,Male Head
5508,Male Head
5509,Male Head
609,Male Head
4990,Male Head
4991,Male Head
5559,Male Head
4369,Male Head
7663,Male Head
5564,Male Head
13012,Male Head
5568,Male Head
4485,Male Head
9578,Male Head
15893,Male Head
5511,Male Head
19084,Male Head
13425,Male Head
5510,Male Head
4484,Male Head
8006,Male Head
13013,Male Head
211,Male Head
192,Male Head
191,Male Head
190,Male Head
8030,Male Head
189,Male Head
13363,Male Head
5042,Male Head
8031,Male Head
5363,Male Head
5613,Male Head
583,Male Head
5615,Male Head
4878,Male Head
5616,Male Head
711,Male Head
193,Male Head
705,Male Head
19122,Male Head
7836,Male Head
4886,Male Head
5014,Male Head
5015,Male Head
5016,Male Head
18706,Male Head
18705,Male Head
5597,Male Head
12708,Male Head
5598,Male Head
9341,Male Head
697,Male Head
309,Male Head
7674,Male Head
700,Male Head
5027,Male Head
18698,Male Head
308,Male Head
4987,Male Head
4986,Male Head
232,Male Head
251,Male Head
250,Male Head
9616,Male Head
7818,Male Head
15866,Male Head
4960,Male Head
648,Male Head
7927,Male Head
15869,Male Head
9611,Male Head
16175,Male Head
9655,Male Head
246,Male Head
4911,Male Head
9656,Male Head
7636,Male Head
17262,Male Head
7640,Male Head
640,Male Head
630,Male Head
5390,Male Head
4934,Male Head
5389,Male Head
4919,Male Head
8012,Male Head
259,Male Head
4409,Male Head
258,Male Head
5383,Male Head
15859,Male Head
9621,Male Head
9377,Male Head
9362,Male Head
5391,Male Head
12991,Male Head
5384,Male Head
16174,Male Head
16173,Male Head
4910,Male Head
9600,Male Head
234,Male Head
5542,Male Head
658,Male Head
659,Male Head
660,Male Head
5546,Male Head
654,Male Head
4981,Male Head
17156,Male Head
5550,Male Head
9353,Male Head
233,Male Head
17157,Male Head
13416,Male Head
4376,Male Head
4982,Male Head
9752,Male Head
9668,Male Head
9666,Male Head
22618,Male Head
15871,Male Head
9657,Male Head
4971,Male Head
9658,Male Head
9659,Male Head
9660,Male Head
9667,Male Head
9661,Male Head
9663,Male Head
18548,Male Head
9142,Male Head
4400,Male Head
9664,Male Head
9665,Male Head
4975,Male Head
9662,Male Head
18644,Male Head
712,Male Head
12691,Male Head
15945,Male Head
18509,Male Head
5115,Male Head
5338,Male Head
19292,Male Head
9163,Male Head
5337,Male Head
129,Male Head
9164,Male Head
13136,Male Head
15952,Male Head
4136,Male Head
16093,Male Head
7787,Male Head
9165,Male Head
798,Male Head
17169,Male Head
15661,Male Head
139,Male Head
5689,Male Head
5690,Male Head
5691,Male Head
5692,Male Head
5693,Male Head
7585,Male Head
7584,Male Head
4585,Male Head
9878,Male Head
5103,Male Head
9502,Male Head
791,Male Head
7693,Male Head
7854,Male Head
7694,Male Head
17168,Male Head
5102,Male Head
5688,Male Head
9904,Male Head
5459,Male Head
4597,Male Head
4598,Male Head
116,Male Head
4831,Male Head
7695,Male Head
22708,Male Head
12812,Male Head
4830,Male Head
17319,Male Head
8062,Male Head
8063,Male Head
835,Male Head
5454,Male Head
5152,Male Head
22227,Male Head
348,Male Head
9931,Male Head
9930,Male Head
9929,Male Head
810,Male Head
9166,Male Head
4839,Male Head
9480,Male Head
5136,Male Head
9479,Male Head
7786,Male Head
5460,Male Head
7565,Male Head
7474,Male Head
5728,Male Head
5398,Male Head
7785,Male Head
9477,Male Head
821,Male Head
5735,Male Head
5727,Male Head
9503,Male Head
5687,Male Head
7692,Male Head
18907,Male Head
175,Male Head
17068,Male Head
9534,Male Head
570,Male Head
569,Male Head
9796,Male Head
744,Male Head
18416,Male Head
15730,Male Head
745,Male Head
746,Male Head
5067,Male Head
18688,Male Head
168,Male Head
9535,Male Head
177,Male Head
18552,Male Head
7933,Male Head
4876,Male Head
5624,Male Head
5048,Male Head
9767,Male Head
13216,Male Head
9335,Male Head
318,Male Head
15720,Male Head
13217,Male Head
13218,Male Head
13219,Male Head
13220,Male Head
17238,Male Head
5630,Male Head
5055,Male Head
9092,Male Head
22308,Male Head
333,Male Head
17126,Male Head
163,Male Head
9839,Male Head
9840,Male Head
12653,Male Head
9398,Male Head
4195,Male Head
22687,Male Head
9511,Male Head
9838,Male Head
9510,Male Head
17306,Male Head
17307,Male Head
9399,Male Head
783,Male Head
19251,Male Head
9209,Male Head
7691,Male Head
152,Male Head
12692,Male Head
9837,Male Head
9836,Male Head
162,Male Head
19209,Male Head
4550,Male Head
4223,Male Head
9395,Male Head
158,Male Head
9396,Male Head
12795,Male Head
9519,Male Head
15714,Male Head
13457,Male Head
9397,Male Head
13458,Male Head
5349,Male Head
13459,Male Head
13460,Male Head
5083,Male Head
5041,Male Head
22031,Male Head
5293,Male Head
17854,Male Head
7071,Male Head
14518,Male Head
2479,Male Head
14519,Male Head
6688,Male Head
8560,Male Head
11337,Male Head
3203,Male Head
3202,Male Head
14064,Male Head
6266,Male Head
10716,Male Head
6272,Male Head
10722,Male Head
8570,Male Head
11922,Male Head
10732,Male Head
3172,Male Head
6254,Male Head
1379,Male Head
6253,Male Head
7065,Male Head
7329,Male Head
7328,Male Head
11360,Male Head
12262,Male Head
20118,Male Head
7327,Male Head
1334,Male Head
7326,Male Head
7325,Male Head
7324,Male Head
7323,Male Head
7322,Male Head
11359,Male Head
8346,Male Head
15050,Male Head
7321,Male Head
6240,Male Head
7320,Male Head
21818,Male Head
11350,Male Head
7330,Male Head
1380,Male Head
6287,Male Head
10799,Male Head
21745,Male Head
6338,Male Head
6339,Male Head
6340,Male Head
6341,Male Head
6342,Male Head
6343,Male Head
2524,Male Head
6344,Male Head
6345,Male Head
6346,Male Head
1766,Male Head
6347,Male Head
6348,Male Head
6349,Male Head
1765,Male Head
11293,Male Head
3068,Male Head
1434,Male Head
10737,Male Head
21749,Male Head
21758,Male Head
21792,Male Head
8777,Male Head
8776,Male Head
10746,Male Head
21786,Male Head
8213,Male Head
7302,Male Head
7077,Male Head
10761,Male Head
20229,Male Head
3130,Male Head
18077,Male Head
21768,Male Head
6661,Male Head
16488,Male Head
14057,Male Head
21762,Male Head
21761,Male Head
14962,Male Head
21755,Male Head
14051,Male Head
7331,Male Head
11361,Male Head
21879,Male Head
11867,Male Head
11868,Male Head
20047,Male Head
8546,Male Head
11418,Male Head
6180,Male Head
14462,Male Head
20049,Male Head
6181,Male Head
1284,Male Head
8547,Male Head
8548,Male Head
6182,Male Head
16452,Male Head
10606,Male Head
18151,Male Head
18150,Male Head
18149,Male Head
11866,Male Head
18148,Male Head
1269,Male Head
3358,Male Head
21903,Male Head
10553,Male Head
10554,Male Head
13736,Male Head
13737,Male Head
15155,Male Head
1864,Male Head
15150,Male Head
6754,Male Head
11444,Male Head
21891,Male Head
6150,Male Head
2369,Male Head
14445,Male Head
6153,Male Head
8535,Male Head
2380,Male Head
1847,Male Head
8192,Male Head
3357,Male Head
7332,Male Head
18147,Male Head
10618,Male Head
10634,Male Head
6698,Male Head
12278,Male Head
10638,Male Head
8821,Male Head
15085,Male Head
12277,Male Head
10648,Male Head
8820,Male Head
3266,Male Head
8819,Male Head
6697,Male Head
21423,Male Head
8349,Male Head
8818,Male Head
8817,Male Head
3262,Male Head
17853,Male Head
6692,Male Head
3289,Male Head
6723,Male Head
8353,Male Head
7051,Male Head
18142,Male Head
12049,Male Head
16458,Male Head
13765,Male Head
3299,Male Head
14104,Male Head
2411,Male Head
6721,Male Head
18137,Male Head
6720,Male Head
6719,Male Head
6718,Male Head
13766,Male Head
6203,Male Head
8822,Male Head
1830,Male Head
14483,Male Head
7049,Male Head
7050,Male Head
8354,Male Head
14050,Male Head
10829,Male Head
8755,Male Head
8691,Male Head
8690,Male Head
8689,Male Head
8301,Male Head
6467,Male Head
2861,Male Head
7190,Male Head
17983,Male Head
14781,Male Head
14780,Male Head
14779,Male Head
12100,Male Head
12099,Male Head
12098,Male Head
12097,Male Head
12096,Male Head
12095,Male Head
12094,Male Head
12093,Male Head
8692,Male Head
11021,Male Head
10985,Male Head
8694,Male Head
6443,Male Head
7136,Male Head
14656,Male Head
13997,Male Head
16581,Male Head
16580,Male Head
1684,Male Head
16579,Male Head
18003,Male Head
1683,Male Head
1682,Male Head
1681,Male Head
7137,Male Head
14675,Male Head
16812,Male Head
10977,Male Head
8696,Male Head
8695,Male Head
10980,Male Head
8693,Male Head
16582,Male Head
12092,Male Head
14766,Male Head
14740,Male Head
8290,Male Head
21563,Male Head
13968,Male Head
1642,Male Head
8289,Male Head
14702,Male Head
14703,Male Head
20548,Male Head
6535,Male Head
11102,Male Head
12062,Male Head
8283,Male Head
21575,Male Head
12060,Male Head
2773,Male Head
13952,Male Head
1622,Male Head
2757,Male Head
14744,Male Head
12091,Male Head
14745,Male Head
17547,Male Head
6484,Male Head
11033,Male Head
11034,Male Head
11035,Male Head
11036,Male Head
8300,Male Head
6485,Male Head
8656,Male Head
12019,Male Head
1660,Male Head
8657,Male Head
6536,Male Head
8296,Male Head
1657,Male Head
12022,Male Head
11125,Male Head
11124,Male Head
11123,Male Head
14750,Male Head
14749,Male Head
16583,Male Head
8630,Male Head
11180,Male Head
8234,Male Head
8235,Male Head
8326,Male Head
8325,Male Head
11249,Male Head
11951,Male Head
1482,Male Head
1483,Male Head
10873,Male Head
10874,Male Head
10875,Male Head
10876,Male Head
7097,Male Head
2585,Male Head
1484,Male Head
7100,Male Head
6380,Male Head
6383,Male Head
17605,Male Head
7256,Male Head
14598,Male Head
8233,Male Head
17501,Male Head
6644,Male Head
7090,Male Head
7091,Male Head
2552,Male Head
13842,Male Head
6636,Male Head
14579,Male Head
20311,Male Head
8231,Male Head
7265,Male Head
7264,Male Head
16505,Male Head
20746,Male Head
1753,Male Head
10851,Male Head
6623,Male Head
6622,Male Head
6621,Male Head
7260,Male Head
8232,Male Head
2996,Male Head
17908,Male Head
7241,Male Head
13893,Male Head
6413,Male Head
18021,Male Head
13894,Male Head
7226,Male Head
7225,Male Head
7224,Male Head
7223,Male Head
7222,Male Head
11196,Male Head
1527,Male Head
14825,Male Head
14824,Male Head
11189,Male Head
2649,Male Head
2650,Male Head
7213,Male Head
7123,Male Head
10964,Male Head
1715,Male Head
8622,Male Head
2945,Male Head
2626,Male Head
6391,Male Head
14886,Male Head
17515,Male Head
14885,Male Head
14884,Male Head
14883,Male Head
14882,Male Head
17909,Male Head
21493,Male Head
8522,Male Head
7473,Male Head
16516,Male Head
2963,Male Head
16517,Male Head
6396,Male Head
21679,Male Head
6600,Male Head
6599,Male Head
11211,Male Head
20394,Male Head
13884,Male Head
6764,Male Head
6722,Male Head
12048,Male Head
19877,Male Head
11635,Male Head
6821,Male Head
21954,Male Head
14198,Male Head
6065,Male Head
6822,Male Head
12442,Male Head
14299,Male Head
14300,Male Head
8154,Male Head
12441,Male Head
1075,Male Head
1076,Male Head
3525,Male Head
22039,Male Head
6823,Male Head
15257,Male Head
2224,Male Head
1172,Male Head
6058,Male Head
10300,Male Head
6825,Male Head
10443,Male Head
11622,Male Head
14301,Male Head
10299,Male Head
10298,Male Head
10297,Male Head
10296,Male Head
10433,Male Head
6824,Male Head
10444,Male Head
10445,Male Head
10446,Male Head
6984,Male Head
11644,Male Head
2242,Male Head
2243,Male Head
8125,Male Head
11742,Male Head
21309,Male Head
2244,Male Head
19897,Male Head
19898,Male Head
21314,Male Head
14165,Male Head
8161,Male Head
11741,Male Head
16402,Male Head
6053,Male Head
6983,Male Head
8126,Male Head
10447,Male Head
10448,Male Head
11756,Male Head
5969,Male Head
10449,Male Head
8128,Male Head
17681,Male Head
10450,Male Head
15242,Male Head
6820,Male Head
22000,Male Head
21148,Male Head
13635,Male Head
21155,Male Head
8127,Male Head
21946,Male Head
21128,Male Head
16370,Male Head
1108,Male Head
18243,Male Head
18244,Male Head
1109,Male Head
1110,Male Head
3637,Male Head
1111,Male Head
11587,Male Head
22019,Male Head
1955,Male Head
11588,Male Head
21993,Male Head
15314,Male Head
7423,Male Head
7422,Male Head
11603,Male Head
2172,Male Head
6021,Male Head
3606,Male Head
16727,Male Head
13675,Male Head
6022,Male Head
6023,Male Head
1956,Male Head
19799,Male Head
6025,Male Head
13676,Male Head
7417,Male Head
6865,Male Head
13677,Male Head
8400,Male Head
6024,Male Head
1107,Male Head
8931,Male Head
8932,Male Head
3671,Male Head
21068,Male Head
15358,Male Head
12374,Male Head
12373,Male Head
10405,Male Head
3670,Male Head
10406,Male Head
12372,Male Head
2152,Male Head
18267,Male Head
19842,Male Head
6052,Male Head
10417,Male Head
15359,Male Head
7440,Male Head
10396,Male Head
1153,Male Head
7431,Male Head
8933,Male Head
8934,Male Head
2197,Male Head
7409,Male Head
7408,Male Head
1090,Male Head
15342,Male Head
2157,Male Head
14183,Male Head
19820,Male Head
5979,Male Head
15350,Male Head
2036,Male Head
8935,Male Head
16688,Male Head
6066,Male Head
21103,Male Head
1221,Male Head
21925,Male Head
10514,Male Head
19980,Male Head
15184,Male Head
2015,Male Head
11491,Male Head
21235,Male Head
1033,Male Head
1032,Male Head
1031,Male Head
8959,Male Head
1030,Male Head
10218,Male Head
11492,Male Head
11493,Male Head
1029,Male Head
14253,Male Head
12471,Male Head
11494,Male Head
8434,Male Head
6913,Male Head
22082,Male Head
8435,Male Head
8436,Male Head
10521,Male Head
8437,Male Head
3770,Male Head
11490,Male Head
19979,Male Head
11827,Male Head
5934,Male Head
5935,Male Head
1895,Male Head
5932,Male Head
5936,Male Head
16428,Male Head
5931,Male Head
11487,Male Head
5937,Male Head
5938,Male Head
5939,Male Head
5940,Male Head
5941,Male Head
10527,Male Head
11488,Male Head
11489,Male Head
20991,Male Head
22072,Male Head
21916,Male Head
7008,Male Head
17377,Male Head
21205,Male Head
3424,Male Head
2017,Male Head
8438,Male Head
1901,Male Head
7015,Male Head
6998,Male Head
1205,Male Head
6786,Male Head
11495,Male Head
6898,Male Head
17446,Male Head
6097,Male Head
2048,Male Head
6096,Male Head
8965,Male Head
2047,Male Head
14274,Male Head
2046,Male Head
21943,Male Head
6997,Male Head
6790,Male Head
3725,Male Head
10265,Male Head
11808,Male Head
11704,Male Head
10203,Male Head
16684,Male Head
6892,Male Head
6768,Male Head
1198,Male Head
6950,Male Head
5933,Male Head
13716,Male Head
8440,Male Head
21253,Male Head
8442,Male Head
10500,Male Head
6925,Male Head
3445,Male Head
6948,Male Head
1053,Male Head
12453,Male Head
11697,Male Head
8441,Male Head
11496,Male Head
6947,Male Head
6946,Male Head
6949,Male Head
10493,Male Head
8439,Male Head
14241,Male Head
16819,Married
16597,Married
16141,Married
16726,Married
16730,Married
16596,Married
16595,Married
17063,Married
17062,Married
16821,Married
16731,Married
16827,Married
16822,Married
16728,Married
16823,Married
16824,Married
17064,Married
16732,Married
16187,Married
16178,Married
17065,Married
16825,Married
16734,Married
16820,Married
16826,Married
17066,Married
16598,Married
16729,Married
16148,Married
16733,Married
16813,Married
16180,Married
16740,Married
16567,Married
16183,Married
16146,Married
16568,Married
16184,Married
17061,Married
16745,Married
16744,Married
16569,Married
17060,Married
17056,Married
17057,Married
16185,Married
16570,Married
16743,Married
16571,Married
17058,Married
16144,Married
17059,Married
16143,Married
16572,Married
16142,Married
16742,Married
16741,Married
16573,Married
16815,Married
16182,Married
16179,Married
16584,Married
16738,Married
16594,Married
16735,Married
16593,Married
16805,Married
16748,Married
16592,Married
16566,Married
16591,Married
17054,Married
16806,Married
17055,Married
16590,Married
16747,Married
16589,Married
16808,Married
16814,Married
16147,Married
16588,Married
16736,Married
16818,Married
16587,Married
16181,Married
16186,Married
16817,Married
16586,Married
16816,Married
16585,Married
16739,Married
16746,Married
16771,Married
16724,Married
16677,Married
16157,Married
16158,Married
17077,Married
16159,Married
16676,Married
16756,Married
16757,Married
16758,Married
16759,Married
16674,Married
16647,Married
16673,Married
16781,Married
16160,Married
16672,Married
16671,Married
17097,Married
16780,Married
16648,Married
16779,Married
17079,Married
16649,Married
16650,Married
17078,Married
17095,Married
17098,Married
17099,Married
16151,Married
16786,Married
16152,Married
16751,Married
16752,Married
16753,Married
16154,Married
16155,Married
16156,Married
16784,Married
17075,Married
16783,Married
16755,Married
16686,Married
16685,Married
16682,Married
16681,Married
16680,Married
16679,Married
16678,Married
17100,Married
16644,Married
16645,Married
16646,Married
17076,Married
17074,Married
16651,Married
16652,Married
16664,Married
16763,Married
17090,Married
16665,Married
16764,Married
16775,Married
16163,Married
16666,Married
17091,Married
16774,Married
16667,Married
17089,Married
16668,Married
16765,Married
16164,Married
17092,Married
16766,Married
16767,Married
16773,Married
16772,Married
16768,Married
16669,Married
16670,Married
16769,Married
17093,Married
17080,Married
16663,Married
16762,Married
16778,Married
16653,Married
17081,Married
16777,Married
17082,Married
17083,Married
16776,Married
16760,Married
17084,Married
16654,Married
17085,Married
16662,Married
17086,Married
17088,Married
16655,Married
16161,Married
16656,Married
16657,Married
16658,Married
16659,Married
16660,Married
16162,Married
16661,Married
16761,Married
17087,Married
16725,Married
16150,Married
16788,Married
16718,Married
16801,Married
16618,Married
16619,Married
16717,Married
16800,Married
16620,Married
16716,Married
16715,Married
16799,Married
16714,Married
16617,Married
16770,Married
16711,Married
16798,Married
16710,Married
16709,Married
16797,Married
16621,Married
16622,Married
16708,Married
16707,Married
16177,Married
16706,Married
16712,Married
16705,Married
16802,Married
16615,Married
16723,Married
16804,Married
16599,Married
16600,Married
16601,Married
16602,Married
16603,Married
16722,Married
16604,Married
16605,Married
16606,Married
16616,Married
16607,Married
16720,Married
16608,Married
16609,Married
16610,Married
16611,Married
16612,Married
16149,Married
16750,Married
16613,Married
16614,Married
16719,Married
16803,Married
16787,Married
16704,Married
16702,Married
17070,Married
17105,Married
16634,Married
17104,Married
16635,Married
16636,Married
17071,Married
16637,Married
16638,Married
17103,Married
16639,Married
16633,Married
16640,Married
16176,Married
16642,Married
16793,Married
16792,Married
16791,Married
17102,Married
16643,Married
17072,Married
17073,Married
16790,Married
16789,Married
16641,Married
16703,Married
16632,Married
16689,Married
16701,Married
16796,Married
16700,Married
16699,Married
16698,Married
16697,Married
16623,Married
16624,Married
16696,Married
16695,Married
16795,Married
17069,Married
16694,Married
16625,Married
16626,Married
16627,Married
16693,Married
16692,Married
16628,Married
16629,Married
16630,Married
16691,Married
16690,Married
16631,Married
16794,Married
16713,Married
16344,Married
16188,Married
16417,Married
16418,Married
16419,Married
16420,Married
16421,Married
16904,Married
16422,Married
16423,Married
16980,Married
16903,Married
16902,Married
16294,Married
16424,Married
16293,Married
16416,Married
16292,Married
16425,Married
16290,Married
16289,Married
16901,Married
16900,Married
16426,Married
16899,Married
16898,Married
16897,Married
16427,Married
16896,Married
16895,Married
16288,Married
16287,Married
16291,Married
16415,Married
16414,Married
16295,Married
16302,Married
16974,Married
16975,Married
16398,Married
16301,Married
16300,Married
16299,Married
16298,Married
16976,Married
16977,Married
16399,Married
16400,Married
16403,Married
16404,Married
16405,Married
16908,Married
16406,Married
16413,Married
16412,Married
16296,Married
16905,Married
16906,Married
16907,Married
16286,Married
16411,Married
16297,Married
16410,Married
16409,Married
16408,Married
16978,Married
16407,Married
16979,Married
16285,Married
16284,Married
16430,Married
16441,Married
16442,Married
16443,Married
16987,Married
16988,Married
16444,Married
16445,Married
16272,Married
16271,Married
16885,Married
16446,Married
16270,Married
16447,Married
16269,Married
16448,Married
16449,Married
16268,Married
16263,Married
16264,Married
16265,Married
16882,Married
16992,Married
16991,Married
16273,Married
16266,Married
16989,Married
16267,Married
16883,Married
16884,Married
16451,Married
16450,Married
16990,Married
16303,Married
16274,Married
16276,Married
16431,Married
16283,Married
16432,Married
16282,Married
16281,Married
16894,Married
16893,Married
16981,Married
16280,Married
16279,Married
16278,Married
16277,Married
16892,Married
16433,Married
16434,Married
16435,Married
16436,Married
16986,Married
16985,Married
16886,Married
16984,Married
16887,Married
16888,Married
16275,Married
16889,Married
16982,Married
16439,Married
16438,Married
16437,Married
16890,Married
16891,Married
16983,Married
16397,Married
16396,Married
16973,Married
16362,Married
16954,Married
16363,Married
16364,Married
16365,Married
16366,Married
16367,Married
16333,Married
16332,Married
16331,Married
16330,Married
16368,Married
16955,Married
16329,Married
16328,Married
16932,Married
16327,Married
16929,Married
16372,Married
16930,Married
16931,Married
16320,Married
16321,Married
16361,Married
16322,Married
16371,Married
16369,Married
16323,Married
16324,Married
16325,Married
16326,Married
16956,Married
16319,Married
16953,Married
16952,Married
16343,Married
16342,Married
16341,Married
16340,Married
16345,Married
16346,Married
16347,Married
16348,Married
16339,Married
16338,Married
16349,Married
16943,Married
16350,Married
16944,Married
16945,Married
16946,Married
16947,Married
16951,Married
16950,Married
16949,Married
16359,Married
16358,Married
16948,Married
16360,Married
16357,Married
16356,Married
16355,Married
16354,Married
16353,Married
16352,Married
16351,Married
16337,Married
16262,Married
16318,Married
16317,Married
16381,Married
16920,Married
16383,Married
16967,Married
16968,Married
16919,Married
16918,Married
16916,Married
16915,Married
16914,Married
16913,Married
16912,Married
16384,Married
16385,Married
16386,Married
16387,Married
16388,Married
16972,Married
16909,Married
16910,Married
16911,Married
16395,Married
16971,Married
16304,Married
16394,Married
16393,Married
16392,Married
16969,Married
16391,Married
16390,Married
16389,Married
16970,Married
16957,Married
16380,Married
16307,Married
16958,Married
16928,Married
16927,Married
16373,Married
16959,Married
16960,Married
16316,Married
16961,Married
16374,Married
16315,Married
16314,Married
16313,Married
16926,Married
16925,Married
16924,Married
16962,Married
16923,Married
16966,Married
16965,Married
16308,Married
16379,Married
16964,Married
16309,Married
16305,Married
16378,Married
16921,Married
16377,Married
16922,Married
16310,Married
16376,Married
16375,Married
16963,Married
16261,Married
16260,Married
16259,Married
16520,Married
16851,Married
16521,Married
16522,Married
16523,Married
16524,Married
16525,Married
16526,Married
16527,Married
16528,Married
16529,Married
16530,Married
16531,Married
16532,Married
16533,Married
16534,Married
16535,Married
16541,Married
16200,Married
16846,Married
16847,Married
16201,Married
17030,Married
16519,Married
16848,Married
16850,Married
16540,Married
16539,Married
16538,Married
16537,Married
16536,Married
16849,Married
16542,Married
16518,Married
16853,Married
16504,Married
17022,Married
17023,Married
16506,Married
16507,Married
16508,Married
16509,Married
16510,Married
16865,Married
16864,Married
17024,Married
16863,Married
16862,Married
16511,Married
16512,Married
16861,Married
16205,Married
17028,Married
17027,Married
17026,Married
16855,Married
16856,Married
16202,Married
16852,Married
16857,Married
16859,Married
16860,Married
16514,Married
16513,Married
16204,Married
17025,Married
16858,Married
16206,Married
16199,Married
16197,Married
17041,Married
16551,Married
16552,Married
16833,Married
16832,Married
16553,Married
17043,Married
16189,Married
17044,Married
17045,Married
16831,Married
16555,Married
16556,Married
16557,Married
16830,Married
16558,Married
16559,Married
16565,Married
16563,Married
17053,Married
17052,Married
17051,Married
17050,Married
17040,Married
16562,Married
17049,Married
17048,Married
16560,Married
17047,Married
16829,Married
17046,Married
16561,Married
16198,Married
16550,Married
17039,Married
16196,Married
16845,Married
16543,Married
16544,Married
16195,Married
16545,Married
16546,Married
16194,Married
16193,Married
16547,Married
16844,Married
16843,Married
17031,Married
17032,Married
16842,Married
16841,Married
17034,Married
16548,Married
16190,Married
16191,Married
16192,Married
17038,Married
17037,Married
16549,Married
17036,Married
16835,Married
16836,Married
16837,Married
16838,Married
