,FamilyType
15181,Female Head
19957,Female Head
15182,Female Head
15183,Female Head
10513,Female Head
6122,Female Head
8860,Female Head
6118,Female Head
3444,Female Head
6117,Female Head
8861,Female Head
19961,Female Head
6113,Female Head
6133,Female Head
6134,Female Head
3349,Female Head
3352,Female Head
3353,Female Head
3354,Female Head
3355,Female Head
3356,Female Head
6162,Female Head
6161,Female Head
6160,Female Head
6158,Female Head
6154,Female Head
15145,Female Head
6149,Female Head
15166,Female Head
6148,Female Head
15149,Female Head
6147,Female Head
16440,Female Head
6143,Female Head
6142,Female Head
6141,Female Head
10552,Female Head
10551,Female Head
10550,Female Head
10549,Female Head
10548,Female Head
10547,Female Head
6135,Female Head
15148,Female Head
6422,Female Head
6112,Female Head
19937,Female Head
19861,Female Head
6057,Female Head
15254,Female Head
19854,Female Head
10416,Female Head
6051,Female Head
6048,Female Head
6047,Female Head
19841,Female Head
10404,Female Head
3561,Female Head
3562,Female Head
10403,Female Head
15249,Female Head
10402,Female Head
8909,Female Head
8910,Female Head
8911,Female Head
3569,Female Head
8912,Female Head
15274,Female Head
15275,Female Head
10393,Female Head
15276,Female Head
15277,Female Head
16382,Female Head
19816,Female Head
3583,Female Head
15269,Female Head
6111,Female Head
15248,Female Head
10431,Female Head
10494,Female Head
8872,Female Head
8875,Female Head
8876,Female Head
6095,Female Head
6094,Female Head
6093,Female Head
6092,Female Head
6091,Female Head
6090,Female Head
19914,Female Head
6089,Female Head
8883,Female Head
10430,Female Head
6080,Female Head
6078,Female Head
6077,Female Head
3497,Female Head
6073,Female Head
16401,Female Head
10442,Female Head
10441,Female Head
10440,Female Head
10439,Female Head
8895,Female Head
8896,Female Head
10435,Female Head
3524,Female Head
8885,Female Head
5915,Female Head
6423,Female Head
6429,Female Head
6766,Female Head
11464,Female Head
11463,Female Head
20961,Female Head
6765,Female Head
11458,Female Head
11457,Female Head
11456,Female Head
6760,Female Head
20951,Female Head
20950,Female Head
6759,Female Head
2350,Female Head
8527,Female Head
6753,Female Head
2356,Female Head
6752,Female Head
6751,Female Head
20940,Female Head
11443,Female Head
2363,Female Head
6747,Female Head
2368,Female Head
8534,Female Head
11430,Female Head
11429,Female Head
14452,Female Head
6767,Female Head
8521,Female Head
20968,Female Head
6770,Female Head
6776,Female Head
8518,Female Head
21002,Female Head
21001,Female Head
20998,Female Head
2297,Female Head
2300,Female Head
2306,Female Head
11486,Female Head
11485,Female Head
11484,Female Head
11483,Female Head
11482,Female Head
14454,Female Head
11481,Female Head
11479,Female Head
11478,Female Head
11477,Female Head
20977,Female Head
11476,Female Head
11475,Female Head
11474,Female Head
11473,Female Head
2323,Female Head
2324,Female Head
11472,Female Head
11471,Female Head
11470,Female Head
11480,Female Head
2386,Female Head
8543,Female Head
8544,Female Head
2442,Female Head
6702,Female Head
14502,Female Head
14503,Female Head
8559,Female Head
6696,Female Head
6695,Female Head
17852,Female Head
20854,Female Head
11358,Female Head
11357,Female Head
11356,Female Head
11355,Female Head
6703,Female Head
11354,Female Head
11352,Female Head
11351,Female Head
6691,Female Head
14513,Female Head
6690,Female Head
11346,Female Head
2473,Female Head
14516,Female Head
14517,Female Head
2478,Female Head
20830,Female Head
11336,Female Head
11335,Female Head
11353,Female Head
6777,Female Head
14496,Female Head
14494,Female Head
8545,Female Head
11416,Female Head
11412,Female Head
14470,Female Head
20900,Female Head
11405,Female Head
20896,Female Head
11402,Female Head
2410,Female Head
6717,Female Head
6716,Female Head
11395,Female Head
11394,Female Head
14495,Female Head
6715,Female Head
6713,Female Head
6712,Female Head
6711,Female Head
20880,Female Head
6710,Female Head
6709,Female Head
2429,Female Head
6708,Female Head
6707,Female Head
2433,Female Head
17847,Female Head
14492,Female Head
14493,Female Head
6714,Female Head
11334,Female Head
6778,Female Head
8514,Female Head
14273,Female Head
21175,Female Head
6897,Female Head
6896,Female Head
14278,Female Head
6891,Female Head
6890,Female Head
6889,Female Head
14286,Female Head
14287,Female Head
14288,Female Head
14289,Female Head
14290,Female Head
11643,Female Head
2113,Female Head
11642,Female Head
21154,Female Head
11641,Female Head
11640,Female Head
11639,Female Head
14291,Female Head
14292,Female Head
21147,Female Head
2124,Female Head
14293,Female Head
11634,Female Head
14294,Female Head
14272,Female Head
2089,Female Head
2087,Female Head
6904,Female Head
8424,Female Head
8425,Female Head
11703,Female Head
6926,Female Head
14239,Female Head
14240,Female Head
11696,Female Head
11695,Female Head
6924,Female Head
8426,Female Head
8427,Female Head
8428,Female Head
8429,Female Head
14295,Female Head
21207,Female Head
8431,Female Head
14250,Female Head
6917,Female Head
11685,Female Head
14252,Female Head
11682,Female Head
8432,Female Head
8433,Female Head
6912,Female Head
21187,Female Head
6906,Female Head
6905,Female Head
2082,Female Head
8430,Female Head
2130,Female Head
2131,Female Head
2132,Female Head
6815,Female Head
2238,Female Head
2239,Female Head
2240,Female Head
2241,Female Head
6814,Female Head
6813,Female Head
6812,Female Head
6811,Female Head
6810,Female Head
6809,Female Head
6808,Female Head
6807,Female Head
6816,Female Head
6806,Female Head
21037,Female Head
6804,Female Head
6803,Female Head
16687,Female Head
21029,Female Head
6797,Female Head
16683,Female Head
17798,Female Head
6789,Female Head
6788,Female Head
6785,Female Head
6784,Female Head
8513,Female Head
6805,Female Head
16675,Female Head
6817,Female Head
6819,Female Head
14296,Female Head
14297,Female Head
14298,Female Head
11628,Female Head
6888,Female Head
11621,Female Head
2146,Female Head
16737,Female Head
2150,Female Head
6882,Female Head
6881,Female Head
6880,Female Head
11613,Female Head
6818,Female Head
6879,Female Head
6873,Female Head
6872,Female Head
6868,Female Head
6867,Female Head
6866,Female Head
16721,Female Head
11586,Female Head
11585,Female Head
11584,Female Head
11583,Female Head
2193,Female Head
2198,Female Head
2218,Female Head
2162,Female Head
11333,Female Head
6679,Female Head
6675,Female Head
6523,Female Head
6522,Female Head
6521,Female Head
6520,Female Head
6519,Female Head
6518,Female Head
6517,Female Head
6516,Female Head
16564,Female Head
6512,Female Head
6509,Female Head
6508,Female Head
6507,Female Head
8664,Female Head
8665,Female Head
2787,Female Head
14736,Female Head
11064,Female Head
14739,Female Head
8669,Female Head
6498,Female Head
16554,Female Head
